Specie,File,Validation,Alternative
Turdus philomelos,2MA00783-INM_20240504_201600_66000_69000_0.7529.WAV,-1,
Turdus philomelos,2MA00783-INM_20240514_202400_2915000_2918000_0.8295.WAV,-1,
Turdus philomelos,2MA00783-INM_20240504_201600_1825000_1829000_0.92465.WAV,-1,
Turdus philomelos,2MA00783-INM_20240618_204600_420000_423000_0.8369.WAV,-1,
Turdus philomelos,2MA00783-INM_20240504_201600_2585000_2588000_0.9223.WAV,-1,
Anthus campestris,2MA00783-INM_20240515_071802_3147000_3150000_0.8345.WAV,-1,
Anthus campestris,2MA00783-INM_20240625_070802_3059000_3062000_0.7635.WAV,-1,
Falco tinnunculus,2MA00783-INM_20240506_042600_3265000_3269000_0.98955.WAV,-1,
Falco tinnunculus,2MA00783-INM_20240506_042600_3276000_3279000_0.8728.WAV,-1,
Streptopelia senegalensis,2MA00783-INM_20240616_070602_3274000_3277000_0.7744.WAV,-1,
Pica pica,2MA00783-INM_20240505_201700_1368000_1374000_0.76115.WAV,-1,
Pica pica,2MA00783-INM_20240506_201700_540000_543000_0.7524.WAV,-1,
Pica pica,2MA00783-INM_20240416_200000_3333000_3336000_0.9428.WAV,-1,
Pica pica,2MA00783-INM_20240511_072102_3015000_3018000_0.7649.WAV,-1,
Pica pica,2MA00783-INM_20240615_204500_1152000_1155000_0.7527.WAV,-1,
Pica pica,2MA00783-INM_20240621_204600_1047000_1050000_0.9405.WAV,-1,
Pica pica,2MA00783-INM_20240516_212602_1401000_1404000_0.7669.WAV,-1,
Pica pica,2MA00783-INM_20240621_204600_1077000_1080000_0.8751.WAV,-1,
Pica pica,2MA00783-INM_20240506_201700_816000_819000_0.8097.WAV,-1,
Pica pica,2MA00783-INM_20240613_070602_714000_717000_0.854.WAV,-1,
Pica pica,2MA00783-INM_20240505_201700_1377000_1380000_0.909.WAV,-1,
Pica pica,2MA00783-INM_20240621_204600_1068000_1074000_0.78235.WAV,-1,
Pica pica,2MA00783-INM_20240621_204600_1032000_1035000_0.97.WAV,-1,
Pica pica,2MA00783-INM_20240512_212302_1677000_1680000_0.7647.WAV,-1,
Pica pica,2MA00783-INM_20240424_200700_204000_210000_0.7873.WAV,-1,
Pica pica,2MA00783-INM_20240621_204600_1020000_1026000_0.8731.WAV,-1,
Pica pica,2MA00783-INM_20240613_070602_2643000_2646000_0.762.WAV,-1,
Pica pica,2MA00783-INM_20240517_202700_999000_1002000_0.7517.WAV,-1,
Pica pica,2MA00783-INM_20240513_071902_918000_921000_0.8089.WAV,-1,
Pica pica,2MA00783-INM_20240504_072802_453000_456000_0.7559.WAV,-1,
Pica pica,2MA00783-INM_20240621_204600_1092000_1095000_0.8732.WAV,-1,
Pica pica,2MA00783-INM_20240504_072802_444000_447000_0.7793.WAV,-1,
Pica pica,2MA00783-INM_20240517_202700_3492000_3495000_0.8658.WAV,-1,
Pica pica,2MA00783-INM_20240621_214602_1020000_1023000_0.7629.WAV,-1,
Pica pica,2MA00783-INM_20240613_060602_3330000_3333000_0.7972.WAV,-1,
